ID,Decsription,Planned Duration,Impacted Duration,Planned Cost,Impacted Cost
N7-PROC-M-DEL123,Rain Water Gutter - Deleviry To Site,60,90.81,0,0
N7-PROC-M-DEL124,Floor drain - Deleviry To Site,30,35.21,0,0
N7-PROC-M-DEL125,Gully Trap - Deleviry To Site,30,35.22,0,0
N7-PROC-M-DEL126,UPVC pipes & fittings - Deleviry To Site,15,17.33,0,0
N7-PROC-M-DEL127,Dry Mix - Deleviry To Site,30,49.22,0,0
N7-PROC-M-DEL128,Steel Handrails For Terraces & Windows - Deleviry To Site,30,40.33,0,0
N7-PROC-M-DEL129,Aluminum Louvers For Slab Openings - Deleviry To Site,30,35.22,0,0
N7-PROC-M-DEL130,Aluminum Louvers For Elevations - Deleviry To Site,30,35.23,0,0
N7-PROC-M-DEL131,Wire Mesh - Deleviry To Site,15,18.6,0,0
N7-PROC-M-DEL132,Marble Counter Top - Deleviry To Site,30,35.22,0,0
N7-PROC-M-DEL133,Steel ladder - Deleviry To Site,30,42.69,0,0
N7-PROC-M-DEL134,Marble and Sornaga For Elevations - Deleviry To Site,30,40.14,0,0
N7-PROC-M-DEL135,MDF Mail boxes - Deleviry To Site,60,69.85,0,0
N7-PROC-M-DEL136,HDF - Deleviry To Site- SATGE01,90,105.28,0,0
N7-PROC-M-DEL137,Marble Flooring - Deleviry To Site,60,69.97,0,0
N7-PROC-M-DEL138,Block No.03-Public Area - DX Split Units - Deleviry To Site,10,11.91,0,0
N7-PROC-M-DEL139,Metal Ducts & Insulation - Deleviry To Site,30,35.23,0,0
N7-PROC-M-DEL140,Submersible Pumps - Deleviry To Site,90,130.99,0,0
N7-PROC-M-DEL141,Low Voltage Cabels - Deleviry To Site,90,126.39,0,0
N7-PROC-M-DEL142,Earthing System - Deleviry To Site,30,35.22,0,0
N7-PROC-M-DEL143,Distribution boards - Deleviry To Site,120,155.78,0,0
N7-PROC-M-DEL144,Access Control System - Deleviry To Site,15,17.34,0,0
N7-PROC-M-DEL145,Fire Alarm System - Deleviry To Site,60,75.95,0,0
N7-PROC-M-DEL146,Data System Cables - Deleviry To Site,60,83.86,0,0
N7-PROC-M-DEL147,Wooden Sub-Frames - Deleviry To Site,30,35.22,0,0
N7-PROC-M-DEL148,Washable Emulsion paints - Deleviry To Site,30,35.23,0,0
N7-PROC-M-DEL149,Wooden Pergola - Deleviry To Site,45,66.35,0,0
N7-PROC-M-DEL150,Gypsum Board - Deleviry To Site,30,49.2,0,0
N7-PROC-M-DEL151,Wooden Cladding - Deleviry To Site,60,69.84,0,0
N7-PROC-M-DEL152,Stainless Steel Building Logo - Deleviry To Site,30,35.22,0,0
N7-PROC-M-DEL153,Corridor Marble Flooring  - Deleviry To Site,30,49.22,0,0
N7-PROC-M-DEL154,Wooden Architraves for Openings - Deleviry To Site,30,40.22,0,0
N7-PROC-M-DEL155,Marble Wall Cladding for Main Entrance - Deleviry To Site,30,49.22,0,0
N7-PROC-M-DEL156,Wooden Louvers -Delivery To Site,30,35.2,0,0
N7-PROC-M-DEL157,Painting Putty  - Deleviry To Site,30,35.23,0,0
N7-PROC-M-DEL158,Marble For Stairs - Deleviry To Site,30,36.1,0,0
N7-PROC-M-DEL159,Expansion Joint Installation - Deleviry To Site,60,90.93,0,0
N7-PROC-M-DEL160,Fire Hoses Installation - Deleviry To Site,60,69.83,0,0
N7-PROC-M-DEL161,Marble Architraves for Elevator Doors - Deleviry To Site,30,35.36,0,0
N7-PROC-M-DEL162,Entrance Counter Works - Deleviry To Site,30,35.21,0,0
N7-PROC-M-DEL163,Terrazzo Tiles Under HDF - Deleviry To Site,60,79.6,0,0
N7-PROC-M-DEL164,Block No.04-Public Area - DX Split Units - Deleviry To Site,10,11.87,0,0
N7-PROC-M-DEL165,Block No.05-Public Area - DX Split Units - Deleviry To Site,10,11.9,0,0
N7-PROC-M-DEL166,Block No.06-Public Area - DX Split Units - Deleviry To Site,10,11.9,0,0
N7-PROC-M-DEL167,Block No.11-Public Area - DX Split Units - Deleviry To Site,10,11.88,0,0
N7-PROC-M-DEL168,Block No.12-Public Area - DX Split Units - Deleviry To Site,10,11.86,0,0
N7-PROC-M-DEL169,Block No.13-Public Area - DX Split Units - Deleviry To Site,10,11.88,0,0
N7-PROC-M-DEL170,Block No.14-Public Area - DX Split Units - Deleviry To Site,10,11.93,0,0
N7-PROC-M-DEL171,Block No.15-Public Area - DX Split Units - Deleviry To Site,10,11.9,0,0
N7-PROC-M-DEL172,Block No.03-Apartments - DX Split Units - Deleviry To Site,10,11.93,0,0
N7-PROC-M-DEL173,Block No.04-Apartments - DX Split Units - Deleviry To Site,10,11.91,0,0
N7-PROC-M-DEL174,Block No.05-Apartments - DX Split Units - Deleviry To Site,10,11.89,0,0
N7-PROC-M-DEL175,Block No.06-Apartments - DX Split Units - Deleviry To Site,10,11.89,0,0
N7-PROC-M-DEL176,Block No.11-Apartments - DX Split Units - Deleviry To Site,10,11.89,0,0
N7-PROC-M-DEL177,Block No.12-Apartments - DX Split Units - Deleviry To Site,10,11.89,0,0
N7-PROC-M-DEL178,Block No.13-Apartments - DX Split Units - Deleviry To Site,10,11.9,0,0
N7-PROC-M-DEL179,Block No.14-Apartments - DX Split Units - Deleviry To Site,10,11.89,0,0
N7-PROC-M-DEL180,Block No.15-Apartments - DX Split Units - Deleviry To Site,10,11.88,0,0
N7-PROC-M-DEL181,"Block No.04-Concealed Split System ,Diffusers,Grilles& fans- Deleviry To Site",60,72.38,0,0
N7-PROC-M-DEL182,"Block No.05-Concealed Split System ,Diffusers,Grilles& fans- Deleviry To Site",60,72.58,0,0
N7-PROC-M-DEL183,"Block No.06-Concealed Split System ,Diffusers,Grilles& fans- Deleviry To Site",60,69.82,0,0
N7-PROC-M-DEL184,"Block No.11-Concealed Split System ,Diffusers,Grilles& fans- Deleviry To Site",60,69.86,0,0
N7-PROC-M-DEL185,"Block No.12-Concealed Split System ,Diffusers,Grilles& fans- Deleviry To Site",60,69.85,0,0
N7-PROC-M-DEL186,"Block No.13-Concealed Split System ,Diffusers,Grilles& fans- Deleviry To Site",60,69.84,0,0
N7-PROC-M-DEL187,"Block No.14-Concealed Split System ,Diffusers,Grilles& fans - Deleviry To Site",60,72.46,0,0
N7-PROC-M-DEL188,"Block No.15-Concealed Split System ,Diffusers,Grilles& fans - Deleviry To Site",60,72.39,0,0
N7-PROC-M-DEL198,HDF - Deleviry To Site- STAGE02,90,105.21,0,0
N7-PROC-M-DEL421,Ceramic - Delivery to Site - Building B03,0,0,0,0
N7-PROC-M-DEL422,Ceramic - Delivery to Site - Building B04,0,0,0,0
N7-PROC-M-DEL423,Ceramic - Delivery to Site - Building B05,0,0,0,0
N7-PROC-M-DEL424,Ceramic - Delivery to Site - Building B06,0,0,0,0
N7-PROC-M-DEL425,Ceramic - Delivery to Site - Building B11,0,0,0,0
N7-PROC-M-DEL426,Ceramic - Delivery to Site - Building B12,0,0,0,0
N7-PROC-M-DEL427,Ceramic - Delivery to Site - Building B13,0,0,0,0
N7-PROC-M-DEL428,Ceramic - Delivery to Site - Building B14,0,0,0,0
N7-PROC-M-DEL429,Ceramic - Delivery to Site - Building B15,0,0,0,0
N7-PROC-M-DEL439,Sanitary Fixtures - Delivery to Site - Building B03,0,0,0,0
N7-PROC-M-DEL449,Sanitary Fixtures - Delivery to Site - Building B04,0,0,0,0
N7-PROC-M-DEL459,Sanitary Fixtures - Delivery to Site - Building B05,0,0,0,0
N7-PROC-M-DEL469,Sanitary Fixtures - Delivery to Site - Building B06,0,0,0,0
N7-PROC-M-DEL479,Sanitary Fixtures - Delivery to Site - Building B11,0,0,0,0
N7-PROC-M-DEL489,Sanitary Fixtures - Delivery to Site - Building B12,0,0,0,0
N7-PROC-M-DEL499,Sanitary Fixtures - Delivery to Site - Building B13,0,0,0,0
N7-PROC-M-DEL509,Sanitary Fixtures - Delivery to Site - Building B14,0,0,0,0
N7-PROC-M-DEL519,Sanitary Fixtures - Delivery to Site - Building B15,0,0,0,0
N7-PROC-M-DEL529,Lighting Fixtures - Delivery to Site - Building B03,0,0,0,0
N7-PROC-M-DEL539,Lighting Fixtures - Delivery to Site - Building B04,0,0,0,0
N7-PROC-M-DEL549,Lighting Fixtures - Delivery to Site - Building B05,0,0,0,0
N7-PROC-M-DEL559,Lighting Fixtures - Delivery to Site - Building B06,0,0,0,0
N7-PROC-M-DEL569,Lighting Fixtures - Delivery to Site - Building B11,0,0,0,0
N7-PROC-M-DEL579,Lighting Fixtures - Delivery to Site - Building B12,0,0,0,0
N7-PROC-M-DEL589,Lighting Fixtures - Delivery to Site - Building B13,0,0,0,0
N7-PROC-M-DEL599,Lighting Fixtures - Delivery to Site - Building B14,0,0,0,0
N7-PROC-M-DEL609,Lighting Fixtures - Delivery to Site - Building B15,0,0,0,0
N7-PROC-M-DEL619,Electric Water Heaters - Delivery to Site - Building B03,0,0,0,0
N7-PROC-M-DEL629,Electric Water Heaters - Delivery to Site - Building B04,0,0,0,0
N7-PROC-M-DEL639,Electric Water Heaters - Delivery to Site - Building B05,0,0,0,0
N7-PROC-M-DEL649,Electric Water Heaters - Delivery to Site - Building B06,0,0,0,0
N7-PROC-M-DEL659,Electric Water Heaters - Delivery to Site - Building B11,0,0,0,0
N7-PROC-M-DEL669,Electric Water Heaters - Delivery to Site - Building B12,0,0,0,0
N7-PROC-M-DEL679,Electric Water Heaters - Delivery to Site - Building B13,0,0,0,0
N7-PROC-M-DEL689,Electric Water Heaters - Delivery to Site - Building B14,0,0,0,0
N7-PROC-M-DEL699,Electric Water Heaters - Delivery to Site - Building B15,0,0,0,0
N7-PROC-M-PO100,Wiring Devices - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO101,U.P.V.C Conduit & boxes with accessories - Purshasing Order,15,17.32,0,0
N7-PROC-M-PO102,Water Supply Pipes - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO103,Fittings & Accessories For Water Supply Pipes - Purshasing Order,15,17.32,0,0
N7-PROC-M-PO104,Ball Valves - Purshasing Order,15,30.76,0,0
N7-PROC-M-PO105,UPVC pipes & fittings - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO106,Covers For Chambers - Purshasing Order,15,17.41,0,0
N7-PROC-M-PO107,Rain Water Gutter - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO108,Floor drain - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO109,Gully Trap - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO110,Steel ladder - Purshasing Order,15,23.97,0,0
N7-PROC-M-PO111,Marble and Sornaga For Elevations - Purshasing Order,15,24.68,0,0
N7-PROC-M-PO112,Dry Mix - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO113,Steel Handrails For Terraces & Windows - Purshasing Order,15,24.46,0,0
N7-PROC-M-PO114,Aluminum Louvers For Slab Openings - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO115,Aluminum Louvers For Elevations - Purshasing Order,15,17.32,0,0
N7-PROC-M-PO116,Wire Mesh - Purshasing Order,15,17.35,0,0
N7-PROC-M-PO117,Marble Counter Top - Purshasing Order,15,17.36,0,0
N7-PROC-M-PO118,"Block No.03-Concealed Split System ,Diffusers,Grilles& fans  - Purshasing Order",15,26.91,0,0
N7-PROC-M-PO119,Water proofing membrane 4 mm - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO120,Gravel Layer For Roofs - Purshasing Order,15,17.31,0,0
N7-PROC-M-PO121,Metal Covers For Ducts - Purshasing Order,15,23.89,0,0
N7-PROC-M-PO122,Terrazzo Tiles - Purshasing Order,15,17.32,0,0
N7-PROC-M-PO123,Light Weight Concrete - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO124,Cement bags for mortar - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO125,Accessories of plaster - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO126,Accessories of fixing masonary - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO127,Accessories For Wooden Doors - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO128,Glass Doors - Purshasing Order,15,17.35,0,0
N7-PROC-M-PO129,Wooden Doors - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO130,Metal Doors and Intake Doors - Purshasing Order,15,17.32,0,0
N7-PROC-M-PO131,Accessories For Glass Doors - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO132,Steel bars - Purshasing Order,2,2.79,0,0
N7-PROC-M-PO133,Cold bituminous paints - Purshasing Order,5,5.65,0,0
N7-PROC-M-PO134,Curb Stone - Purshasing Order,5,12.47,0,0
N7-PROC-M-PO135,MDF Mail boxes - Purshasing Order,15,17.35,0,0
N7-PROC-M-PO136,HDF - Purshasing Order- STAGE 1,15,18.8,0,0
N7-PROC-M-PO137,Marble Flooring - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO138,Block No.03-Public Area - DX Split Units - Purshasing Order,5,5.64,0,0
N7-PROC-M-PO139,Metal Ducts & Insulation - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO140,Submersible Pumps - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO141,Low Voltage Cabels - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO142,Earthing System - Purshasing Order,15,17.38,0,0
N7-PROC-M-PO143,Distribution boards - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO144,Access Control System - Purshasing Order,60,83.97,0,0
N7-PROC-M-PO145,Fire Alarm System - Purshasing Order,15,17.35,0,0
N7-PROC-M-PO146,Data System Cables - Purshasing Order,15,24.11,0,0
N7-PROC-M-PO147,Wooden Sub-Frames - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO148,Washable Emulsion paints- Purshasing Order,15,17.33,0,0
N7-PROC-M-PO149,Wooden Pergola - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO150,Gypsum Board - Purshasing Order,15,17.32,0,0
N7-PROC-M-PO151,Wooden Cladding - Purshasing Order,15,17.32,0,0
N7-PROC-M-PO152,Painting Putty - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO153,Stainless Steel Building Logo - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO154,Marble Architraves for Elevator Doors - Purshasing Order,15,17.32,0,0
N7-PROC-M-PO155,Corridor Marble Flooring - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO156,Wooden Architraves for Openings - Purshasing Order,15,24.48,0,0
N7-PROC-M-PO157,Marble Wall Cladding for Main Entrance- Purshasing Order,15,17.34,0,0
N7-PROC-M-PO158,Wooden Louvers - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO159,Marble For Stairs - Purshasing Order,15,30.04,0,0
N7-PROC-M-PO160,Expansion Joint Installation - Purshasing Order,15,17.33,0,0
N7-PROC-M-PO161,Fire Hoses Installation - Purshasing Order,15,17.36,0,0
N7-PROC-M-PO162,Entrance Counter Works - Purshasing Order,15,17.32,0,0
N7-PROC-M-PO163,Terrazzo Tiles Under HDF - Purshasing Order,15,17.34,0,0
N7-PROC-M-PO164,Block No.04-Public Area - DX Split Units - Purshasing Order,5,5.67,0,0
N7-PROC-M-PO165,Block No.05-Public Area - DX Split Units - Purshasing Order,5,5.65,0,0
N7-PROC-M-PO166,Block No.06-Public Area - DX Split Units - Purshasing Order,5,5.66,0,0
N7-PROC-M-PO167,Block No.11-Public Area - DX Split Units - Purshasing Order,5,5.65,0,0
N7-PROC-M-PO168,Block No.12-Public Area - DX Split Units - Purshasing Order,5,5.67,0,0
N7-PROC-M-PO169,Block No.13-Public Area - DX Split Units - Purshasing Order,5,5.67,0,0
N7-PROC-M-PO170,Block No.14-Public Area - DX Split Units - Purshasing Order,5,5.63,0,0
N7-PROC-M-PO171,Block No.15-Public Area - DX Split Units - Purshasing Order,5,5.64,0,0
N7-PROC-M-PO172,Block No.03-Apartments - DX Split Units - Purshasing Order,5,5.67,0,0
N7-PROC-M-PO173,Block No.04-Apartments - DX Split Units - Purshasing Order,5,5.65,0,0
N7-PROC-M-PO174,Block No.05-Apartments - DX Split Units - Purshasing Order,5,5.68,0,0
N7-PROC-M-PO175,Block No.06-Apartments - DX Split Units - Purshasing Order,5,5.64,0,0
N7-PROC-M-PO176,Block No.11-Apartments - DX Split Units - Purshasing Order,5,5.64,0,0
N7-PROC-M-PO177,Block No.12-Apartments - DX Split Units - Purshasing Order,5,5.65,0,0
N7-PROC-M-PO178,Block No.13-Apartments - DX Split Units - Purshasing Order,5,5.64,0,0
N7-PROC-M-PO179,Block No.14-Apartments - DX Split Units - Purshasing Order,5,5.67,0,0
N7-PROC-M-PO180,Block No.15-Apartments - DX Split Units - Purshasing Order,5,5.64,0,0
N7-PROC-M-PO181,"Block No.04-Concealed Split System ,Diffusers,Grilles& fans  - Purshasing Order",15,27.07,0,0
N7-PROC-M-PO182,"Block No.05-Concealed Split System ,Diffusers,Grilles& fans  - Purshasing Order",15,26.8,0,0
N7-PROC-M-PO183,"Block No.06-Concealed Split System ,Diffusers,Grilles& fans  - Purshasing Order",15,17.32,0,0
N7-PROC-M-PO184,"Block No.11-Concealed Split System ,Diffusers,Grilles& fans  - Purshasing Order",15,17.32,0,0
N7-PROC-M-PO185,"Block No.12-Concealed Split System ,Diffusers,Grilles& fans  - Purshasing Order",15,17.32,0,0
N7-PROC-M-PO186,"Block No.13-Concealed Split System ,Diffusers,Grilles& fans  - Purshasing Order",15,17.32,0,0
N7-PROC-M-PO187,"Block No.14-Concealed Split System ,Diffusers,Grilles& fans  - Purshasing Order",15,27.19,0,0
N7-PROC-M-PO188,"Block No.15-Concealed Split System ,Diffusers,Grilles& fans  - Purshasing Order",15,27.05,0,0
N7-PROC-M-PO198,HDF - Purshasing Order- STAGE 2,15,17.32,0,0
N7-PROC-M-SB100,U.P.V.C Conduit & boxes with accessories - M Submittal,25,29.08,0,0
N7-PROC-M-SB101,Wiring Devices - M Submittal,25,28.75,0,0
N7-PROC-M-SB102,Dry Mix - M Submittal,25,41.04,0,0
N7-PROC-M-SB103,Steel Handrails For Terraces & Windows - M Submittal,25,43.41,0,0
N7-PROC-M-SB104,Aluminum Louvers For Slab Openings - M Submittal,25,29.09,0,0
N7-PROC-M-SB105,Aluminum Louvers For Elevations - M Submittal,25,42.76,0,0
N7-PROC-M-SB106,Wire Mesh - M Submittal,25,29.08,0,0
N7-PROC-M-SB107,Marble Counter Top - M Submittal,25,42.76,0,0
N7-PROC-M-SB108,Steel ladder - M Submittal,25,29.41,0,0
N7-PROC-M-SB109,Marble and Sornaga For Elevations - M Submittal,25,43.41,0,0
N7-PROC-M-SB110,Metal Covers For Ducts - M Submittal,25,29.41,0,0
N7-PROC-M-SB111,Water proofing membrane 4 mm - M Submittal,25,29.25,0,0
N7-PROC-M-SB112,Gravel Layer For Roofs - M Submittal,25,29.41,0,0
N7-PROC-M-SB113,Terrazzo Tiles - M Submittal,25,29.08,0,0
N7-PROC-M-SB114,Light Weight Concrete - M Submittal,25,41.03,0,0
N7-PROC-M-SB115,Wooden Doors - M Submittal,25,43.08,0,0
N7-PROC-M-SB116,Metal Doors and Intake Doors - M Submittal,25,29.08,0,0
N7-PROC-M-SB117,Accessories For Glass Doors - M Submittal,25,29.41,0,0
N7-PROC-M-SB118,Cement bags for mortar - M Submittal,25,28.92,0,0
N7-PROC-M-SB119,Accessories of plaster - M Submittal,25,29.25,0,0
N7-PROC-M-SB120,Accessories of fixing masonary - M Submittal,25,28.92,0,0
N7-PROC-M-SB121,Accessories For Wooden Doors - M Submittal,25,41.05,0,0
N7-PROC-M-SB122,Glass Doors - M Submittal,25,28.76,0,0
N7-PROC-M-SB123,Steel bars - M Submittal,2,3.33,0,0
N7-PROC-M-SB124,Cold bituminous paints - M Submittal,25,29.09,0,0
N7-PROC-M-SB125,Curb Stone - M Submittal,25,43.08,0,0
N7-PROC-M-SB126,Concealed Split System  - M Submittal,25,29.41,0,0
N7-PROC-M-SB127,Rain Water Gutter - M Submittal,25,29.41,0,0
N7-PROC-M-SB128,Floor drain - M Submittal,25,42.76,0,0
N7-PROC-M-SB129,Gully Trap - M Submittal,25,42.76,0,0
N7-PROC-M-SB130,UPVC pipes & fittings - M Submittal,25,28.75,0,0
N7-PROC-M-SB131,Submersible Pumps - M Submittal,25,29.08,0,0
N7-PROC-M-SB132,Water Supply Pipes  - M Submittal,25,29.41,0,0
N7-PROC-M-SB133,Fittings & Accessories For Water Supply Pipes - M Submittal,25,29.41,0,0
N7-PROC-M-SB134,Ball Valves - M Submittal,25,43.08,0,0
N7-PROC-M-SB135,MDF Mail boxes - M Submittal,25,42.75,0,0
N7-PROC-M-SB136,HDF - M Submittal,25,29.52,0,0
N7-PROC-M-SB137,Marble Flooring - M Submittal,25,29.41,0,0
N7-PROC-M-SB138,DX Split Units - M Submittal,25,29.08,0,0
